url;keywords1;keywords2
https://www.booking.com/hotel/fr/aupatiomorand.en-gb.html?selected_currency=EUR;Comfort Double Room;Comfort Double Room
https://www.booking.com/hotel/fr/bayard-bellecour.html?selected_currency=EUR;Comfort Double Room;Comfort Double Room
https://www.booking.com/hotel/fr/des-artistes.en-gb.html?selected_currency=EUR;Standard Double Room;Standard Double Room
https://www.booking.com/hotel/fr/hoteldesrempartsperrache.en-gb.html?selected_currency=EUR;Classic Double Room;Classic Double Room
https://www.booking.com/hotel/fr/hoteldessavoies.html?selected_currency=EUR;Classic Double or Twin Room;Classic Double or Twin Room
https://www.booking.com/hotel/fr/du-simplon.en-gb.html?selected_currency=EUR;Superior Double Room;Superior Double Room
https://www.booking.com/hotel/fr/saint-vincent-lyon.en-gb.html?selected_currency=EUR;Double Room;Double Room
https://www.booking.com/hotel/fr/berlioz-lyon.en-gb.html?selected_currency=EUR;Standard Double Room;Standard Double Room
https://www.booking.com/hotel/fr/republik.en-gb.html?selected_currency=EUR;Classic Double Room;Classic Double Room
https://www.booking.com/hotel/fr/alex.en-gb.html?selected_currency=EUR;Deluxe Double Room;Deluxe Double Room
https://www.booking.com/hotel/fr/hotel-mascotte-vieux-port.en-gb.html?selected_currency=EUR;Comfort Double Room;Comfort Double Room
https://www.booking.com/hotel/fr/le-m-marseille1.en-gb.html?selected_currency=EUR;Double Room;Double Room
https://www.booking.com/hotel/fr/alize.en-gb.html?selected_currency=EUR;Cocoon Double Room;Cocoon Double Room
https://www.booking.com/hotel/fr/montgrand.en-gb.html?selected_currency=EUR;Standard Double Room;Standard Double Room
https://www.booking.com/hotel/fr/ha-tel-marseille-vieux-port.en-gb.html?selected_currency=EUR;Standard Double Room;Standard Double Room
https://www.booking.com/hotel/fr/saint-louis.en-gb.html?selected_currency=EUR;Comfort Room;Comfort Room
https://www.booking.com/hotel/fr/ibis-styles-marseille-vieux-port.en-gb.html?selected_currency=EUR;Standard Double Room;Standard Double Room
https://www.booking.com/hotel/fr/relaiseiffelgrenelle.en-gb.html?selected_currency=EUR;Classic Double Room;Chambre Double Classique
https://www.booking.com/hotel/fr/eldorado-paris.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/louvre-rivoli.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/eugenie.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double Standard
https://www.booking.com/hotel/fr/exquis-by-elegancia.en-gb.html?selected_currency=EUR;Small Double Room;Petite Chambre Double
https://www.booking.com/hotel/fr/france-eiffel.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double Standard
https://www.booking.com/hotel/fr/graslin.en-gb.html?selected_currency=EUR;Comfort Queen Room with Air Condition;Comfort Queen Room with Air Condition
https://www.booking.com/hotel/fr/inter-astoria.en-gb.html?selected_currency=EUR;Standard Double Room;Standard Double Room
https://www.booking.com/hotel/fr/cholet.en-gb.html?selected_currency=EUR;Classic Double Room;Classic Double Room
https://www.booking.com/hotel/fr/ibis-styles-nantes-centre-place-graslin.en-gb.html?selected_currency=EUR;Standard Double Room;Standard Double Room
https://www.booking.com/hotel/fr/l-nantes.en-gb.html?selected_currency=EUR;Standard Double Room;Standard Double Room
https://www.booking.com/hotel/fr/bestwesternnewyrokinnice.en-gb.html?selected_currency=EUR;Classic Double Room;Classic Double Room
https://www.booking.com/hotel/fr/hotelarianice.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double Standard
https://www.booking.com/hotel/fr/1-med.en-gb.html?selected_currency=EUR;Small Standard Double Room;Small Standard Double Room
https://www.booking.com/hotel/fr/fontaine.en-gb.html?selected_currency=EUR;Standard Double or Twin Room - Street Side;Standard Double or Twin Room - Street Side
https://www.booking.com/hotel/fr/midisecond.en-gb.html?selected_currency=EUR;Double Room;Double Room
https://www.booking.com/hotel/fr/florence.en-gb.html?selected_currency=EUR;Double Room;Double Room
https://www.booking.com/hotel/fr/nouvel.en-gb.html?selected_currency=EUR;Standard Double Room;Standard Double Room
https://www.booking.com/hotel/fr/kent.en-gb.html?selected_currency=EUR;Classique Room;Classique Room
https://www.booking.com/hotel/fr/crillon.en-gb.html?selected_currency=EUR;Double Room;Double Room
https://www.booking.com/hotel/fr/hotel-soco-by-happyculture.en-gb.html?selected_currency=EUR;Double Room;Double Room
https://www.booking.com/hotel/fr/gaillon123.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double Standard
https://www.booking.com/hotel/fr/carofftel-gobelins.en-gb.html?selected_currency=EUR;Twin Room;Chambre Double
https://www.booking.com/hotel/it/gaston.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/george-opera.en-gb.html?selected_currency=EUR;Standard Twin Room;Chambre Double Standard
https://www.booking.com/hotel/fr/arleytoureiffelparis.en-gb.html?selected_currency=EUR;Classic Double Room;Chambre Double Classique
https://www.booking.com/hotel/fr/habituel.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/hotel-henriette.en-gb.html?selected_currency=EUR;Classic Double Room;Chambre Double Classique
https://www.booking.com/hotel/fr/hor-les-lumieres.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/hotel-horset-opera.en-gb.html?selected_currency=EUR;Classic Queen Room;Chambre Lit Queen-Size Classique
https://www.booking.com/hotel/fr/icone.en-gb.html?selected_currency=EUR;Classic Double Room;Chambre Double Classique
https://www.booking.com/hotel/fr/hotelistria.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double Standard
https://www.booking.com/hotel/fr/hotel-jacques-de-molay.en-gb.html?selected_currency=EUR;Superior Double Room;Chambre Double Supérieure
https://www.booking.com/hotel/fr/jardin-le-brea.en-gb.html?selected_currency=EUR;Classic Double Room;Chambre Double Classique
https://www.booking.com/hotel/fr/joyce.en-gb.html?selected_currency=EUR;Standard Twin Room;Chambre Double Standard
https://www.booking.com/hotel/fr/idealhotel.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/le-villiers.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/eiffel-atlantique.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/l-39-antoine.en-gb.html?selected_currency=EUR;Classic Double Room;Chambre Double ou Lits Jumeaux Supérieure
https://www.booking.com/hotel/fr/hotel-la-comtesse-by-elegancia.en-gb.html?selected_currency=EUR;Double Room Baronne - Eiffel Tower Side View;Chambre Double Baronne - Vue Latérale sur Tour Eiffel
https://www.booking.com/hotel/fr/beaugency.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/le-chat-noir.en-gb.html?selected_currency=EUR;Double or Twin Room;Chambre Double ou Lits Jumeaux
https://www.booking.com/hotel/fr/le-clos-d-ala-c-sia.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/le-compostelle.en-gb.html?selected_currency=EUR;Double Room with Shower;Chambre Double avec Douche
https://www.booking.com/hotel/fr/le-regent-paris.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double Standard
https://www.booking.com/hotel/fr/le-rive-gauche.en-gb.html?selected_currency=EUR;Classic Double Room;Chambre Double Classique
https://www.booking.com/hotel/fr/hotel-left-bank.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double Standard
https://www.booking.com/hotel/fr/les-bulles-de-paris.en-gb.html?selected_currency=EUR;Classic Double or Twin Room;Chambre Double ou Lits Jumeaux Classique
https://www.booking.com/hotel/fr/les-theatres.en-gb.html?selected_currency=EUR;Classic Double Room;Chambre Double Classique
https://www.booking.com/hotel/fr/lilas-blanc.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double
https://www.booking.com/hotel/fr/london.en-gb.html?selected_currency=EUR;Superior Double Room;Chambre Double Supérieure
https://www.booking.com/hotel/fr/hotel-chenier.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/malar-paris.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/ha-marais.en-gb.html?selected_currency=EUR;Classic Double Room;Chambre Double Classique
https://www.booking.com/hotel/fr/jardindalesia.en-gb.html?selected_currency=EUR;Classic Double Room;Chambre Double Classique
https://www.booking.com/hotel/fr/maxim-quartier-latin.en-gb.html?selected_currency=EUR;Classic Double Room;Chambre Double Classique
https://www.booking.com/hotel/fr/ha-tel-mazagran.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double Standard
https://www.booking.com/hotel/fr/meslay-republique.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double Standard
https://www.booking.com/hotel/fr/mirabeau-eiffel.en-gb.html?selected_currency=EUR;Classic Double Room;Chambre Double Classique
https://www.booking.com/hotel/fr/miramar-paris.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/mistral-paris.en-gb.html?selected_currency=EUR;Comfort Double Room;Chambre Double Confort
https://www.booking.com/hotel/fr/hotel-du-mont-dore.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double Standard
https://www.booking.com/hotel/fr/montecristo-paris.en-gb.html?selected_currency=EUR;Superior Double or Twin room with pool access;Chambre Double Classique avec Accès Piscine
